DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
7/1/16,Ian,1,2:30,"Cloudy, Rainy",2-5',1,2:41,0,5,17,24,31,35,39,41,47,48,54,56,72,72,,72,12,17,34,14,33,18,2,13,12,22,0,8,2,0,,264,0,,0
7/2/16,"Jane, Ian",2,1:45,"Partly Cloudy, Rainy",2-5',n/a,2:40,9,11,18,29,32,41,54,61,65,71,76,86,100,102,,102,19,14,12,23,28,35,26,20,38,19,25,10,4,0,,331,0,,4
7/3/16,"Ian, Luan, Makayla",3,2:30,"Sunny, Partly Cloudy, Rainy",2-5',10,2:35,10,11,15,11,12,16,20,24,25,25,29,33,34,45,50,50,15,22,30,21,15,11,19,0,11,10,7,14,4,4,0,200,0,,2
7/4/16,Ian,1,2:15,"Sunny, Rainy",2-5',13,2:37,13,11,9,10,10,13,20,21,21,21,23,29,31,31,,31,29,13,31,19,20,23,30,5,5,11,9,11,0,0,,247,0,,0
7/5/16,"Lynn, Magda, Janja",3,2:30,Cloudy,2-5',n/a,5:15,34,34,34,34,42,39,39,40,45,46,52,52,56,64,,64,20,10,15,12,23,14,14,22,10,20,12,8,0,0,,235,0,,n/a
7/6/16,Anthony,1,2:30,Sunny,0-1',6,3:20,6,6,3,4,4,4,3,4,4,4,4,4,10,20,36,36,6,9,15,10,12,25,17,4,7,5,20,10,4,12,3,125,0,,0
7/7/16,"Magda, June",2,2:25,Sunny,2-5',n/a,2:30,9,3,3,3,1,1,1,1,1,1,1,1,1,3,9,9,12,14,15,20,28,25,28,46,37,40,32,62,30,35,40,185,0,,10
7/8/16,"Ian, Cole",2,2:30,"Sunny, Cloudy, Rainy",2-5',33,3:02,33,35,34,39,36,34,26,30,30,28,29,30,36,48,,48,29,19,17,23,18,13,14,10,15,14,16,12,10,0,,250,0,,0
7/9/16,"Ian, Juin, Jorja",3,2:15,"Sunny, Rainy",2-5',42,2:38,42,50,52,60,48,50,56,56,56,59,56,60,63,79,83,83,24,16,19,36,20,18,27,8,4,4,6,10,3,3,0,325,0,,0
7/10/16,"Magda, Jewel",2,2:30,Sunny,2-5',18,3:39,18,18,19,21,23,21,21,23,23,23,22,22,22,23,28,28,15,20,26,20,14,30,35,30,20,22,25,20,17,12,15,250,0,,n/a
7/11/16,"Jorja, Lyn, Kalla, Jane, Magda",5,10:20,Sunny,0-1',n/a,10:30,19,20,18,20,18,20,22,22,22,20,20,28,25,29,45,45,10,16,21,35,30,23,29,20,23,20,29,35,23,10,0,520,0,,n/a
7/12/16,"Volsi, Casia, Luan",3,n/a,n/a,n/a,n/a,2:50,9,12,18,21,22,27,28,28,28,28,27,29,31,35,,35,9,11,10,14,19,12,28,4,6,10,13,5,2,4,,255,0,,n/a
7/13/16,Luan,1,2:30,Sunny,n/a,20,2:46,20,22,22,24,27,26,26,27,29,28,24,27,28,45,47,47,15,22,20,6,21,24,12,32,28,33,38,20,13,17,0,126,0,,n/a
7/14/16,"Magda, Christine, Nico",3,2:30,Sunny,2-5',2,2:30,2,6,5,5,7,6,7,7,7,7,10,10,30,,,30,12,15,21,33,35,8,18,16,19,16,20,17,4,,,221,0,,n/a
7/15/16,"Ian, Jorja, Luan",3,2:30,"Sunny, Hot",3',0,2:40,0,1,9,9,11,21,24,28,28,28,27,28,33,50,60,60,10,20,32,20,23,13,15,21,20,21,39,29,32,34,0,283,0,,n/a
7/16/16,"Ian, Jorja +2",4,2:30,"Sunny, Hot",3',26,3:23,26,26,30,41,38,42,46,50,n/a,54,n/a,63,70,80,85,85,25,23,28,22,29,23,13,9,n/a,13,n/a,20,14,7,0,226,0,,15
7/17/16,"Ian, Kora",2,2:00,Sunny,0-5',2,2:44,2,2,0,1,2,2,3,3,3,3,3,4,4,9,19,19,10,21,18,29,27,22,28,26,32,44,39,25,28,26,17,318,0,,2
7/18/16,"Ian, Jain, Lynn +5",8,2:30,Partly Cloudy ,11-15',29,3:01,24,28,35,39,39,39,39,40,39,39,40,41,54,68,75,75,31,20,2,17,7,23,32,36,33,36,21,29,25,0,0,288,0,,0
7/19/16,"Jewel, Luan, Magda",3,8am,"Sunny, Partly Cloudy ",6-10',0,11:03,0,0,0,1,1,3,9,11,11,12,16,16,21,48,53,53,4,13,15,20,16,28,30,30,40,25,15,10,3,17,4,220,0,,0
7/20/16,Anthony +1,2,n/a,n/a,n/a,n/a,11:59,25,21,n/a,38,43,45,46,48,0,51,55,65,70,78,,78,40,45,30,48,35,35,23,15,34,27,34,40,18,,,325,0,,n/a
7/21/16,"Christina, Megnan, Magda +1",4,2:00,Partly Cloudy,2-5',n/a,2:20,0,1,1,2,2,2,4,3,4,5,7,10,21,24,,24,11,10,10,20,9,5,20,15,18,17,9,16,26,4,,158,0,,0
7/22/16,"Ian, Steven",2,2:00,"Sunny, Partly Cloudy",2-5',27,2:51,27,30,31,31,33,35,30,29,29,30,35,36,39,49,50,50,20,35,24,11,13,17,15,11,10,15,18,30,32,6,0,298,0,,20
7/23/16,"Ian, Steven",2,3:00,"Cloudy, Partly Cloudy, Rainy",2-5',26,3:22,,36,37,41,41,43,43,38,39,39,40,43,45,50,,50,,10,2,9,n/a,21,0,2,0,0,10,0,3,0,,120,0,,0
7/24/16,Magda,1,2:30,Cloudy,2-5',18,4:59,18,18,18,19,20,19,16,16,16,16,34,36,38,40,47,47,9,18,23,21,21,16,11,15,18,20,23,18,17,5,2,270,0,,n/a
7/25/16,"Jane, Magda",2,1:00,Sunny,2-5',n/a,2:12,n/a,13,13,13,12,8,8,7,7,6,6,6,6,9,,9,n/a,16,21,16,16,15,16,21,29,34,52,52,49,4,,480,0,,n/a
7/26/16,"Magda, Nick, Chrisitne",3,2:30,Sunny,0-1',5,3:05,5,7,7,7,3,3,3,4,4,4,5,5,5,8,8,8,18,20,22,21,15,18,12,16,30,25,35,37,37,36,8,295,0,,n/a
7/27/16,Anthony,1,2:30,Sunny,0-1',1,3:55,1,3,4,4,4,6,6,6,6,6,6,6,9,21,25,25,22,11,20,25,35,18,8,20,35,27,22,27,35,30,15,225,0,,10
7/28/16,"Magda, Cole",2,2:30,Sunny,0-1',7,2:51,7,8,11,18,17,20,20,21,23,21,27,30,36,58,65,65,10,11,22,19,37,25,28,24,18,22,22,24,31,95,10,261,0,,n/a
7/29/16,"Cole, Ian",2,2:30,"Sunny, Rainy",0-1',18,3:01,18,16,25,39,47,60,58,58,31,62,59,64,91,80,,80,18,24,21,20,14,16,38,46,49,19,28,20,19,0,,380,0,,5
