DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
6/1/15,"Ck, Perry, Wei, Allison H, Emily H",5,2:30,"Cloudy, Sunny",2-5',6,2:45,6,9,9,10,10,9,10,11,12,13,13,16,22,30,34,34,26,15,28,16,26,20,22,17,39,29,25,20,12,2,0,250,0,,12
6/2/15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,Anthony,1,2:30,Cloudy,0-1',15,2:50,15,14,14,15,15,15,14,15,15,15,17,18,28,,,28,10,10,17,13,17,10,12,11,7,6,8,18,8,,,145,0,,16
6/4/15,"Ian, Jenny",2,3:00,Sunny,0-1',3,4:28,n/a,3,3,3,3,3,3,3,4,4,5,5,7,12,13,13,n/a,16,11,14,26,11,21,25,21,9,18,21,16,0,0,194,0,,0
6/5/15,"Ian, Andrew",2,2:00,sunny,1-10',10,2:31,10,6,6,6,7,7,6,6,3,3,3,3,3,9,16,16,4,10,18,26,39,45,44,56,37,25,30,37,25,16,0,313,0,,0
6/6/15,Ian,1,2:20,sunny,2-5',18,2:35,18,22,16,17,19,22,20,21,20,19,22,23,25,30,37,37,18,14,16,12,15,2,10,16,28,15,10,18,15,7,0,262,0,,10
6/7/15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/15,"Ck, Jenny, Adrienne, Mateo, Luke",5,2:30,Sunny,2-5',7,2:53,7,9,9,5,5,4,4,3,3,4,5,4,4,15,22,22,21,17,19,25,32,19,22,28,12,30,26,18,13,11,0,233,1,,7
6/9/15,"Jane, Magda",2,1:10,sunny,2-5',10,2:33,10,11,12,12,11,12,7,7,6,6,6,6,6,12,24,24,22,,,20,14,17,13,20,39,37,37,36,25,16,5,334,0,,5
6/10/15,"Anthony, Magda",2,1:30,sunny,0-1',9,3:01,9,8,10,9,8,6,6,6,6,6,8,10,10,20,,20,2,11,10,3,14,12,21,9,16,18,28,18,11,4,,200,0,,10
6/11/15,"Jane, Jenny, Emily, HB",4,8:30a,sunny ->partly cloudy,2-5',7,2:31,7,11,17,22,22,22,21,22,24,24,23,27,31,34,41,41,17,11,10,20,9,15,15,21,34,21,25,22,10,5,0,239,0,,0
6/12/15,"Christy, Emily, Jenny, Ian",4,10:10,sunny ->partly cloudy,2-5',7,2:34,7,8,9,13,12,11,10,9,9,9,9,10,11,21,22,22,17,7,17,32,34,25,31,46,35,30,32,42,39,21,3,298,0,,5 at 10am; 0 at 2:30
6/13/15,"Jane, Emily, Jenny, Ian",4,10:30,sunny ->partly cloudy,0-5',2,2:54,2,3,3,3,5,6,7,10,12,12,13,13,17,23,26,26,11,21,20,10,14,6,12,20,21,11,13,21,25,27,0,237,0,,0
6/14/15,Ian,1,2:15,sunny,2-5',0,2:38,0,1,2,1,2,2,3,3,3,3,3,5,10,20,22,22,22,14,20,25,26,37,29,45,28,27,29,33,35,19,2,341,0,,0
