Date Time, Water Level, Sigma, I, L 
2015-12-01 00:00,1.257,0.161,0,0
2015-12-01 01:00,1.322,0.108,0,0
2015-12-01 02:00,1.319,0.135,0,0
2015-12-01 03:00,1.325,0.135,0,0
2015-12-01 04:00,1.263,0.161,0,0
2015-12-01 05:00,1.175,0.203,0,0
2015-12-01 06:00,1.083,0.197,0,0
2015-12-01 07:00,0.807,0.164,0,0
2015-12-01 08:00,0.686,0.161,0,0
2015-12-01 09:00,0.646,0.141,0,0
2015-12-01 10:00,0.764,0.118,0,0
2015-12-01 11:00,0.988,0.092,0,0
2015-12-01 12:00,1.188,0.102,0,0
2015-12-01 13:00,1.611,0.115,0,0
2015-12-01 14:00,1.975,0.161,0,0
2015-12-01 15:00,2.123,0.131,0,0
2015-12-01 16:00,2.290,0.151,0,0
2015-12-01 17:00,2.343,0.141,0,0
2015-12-01 18:00,2.070,0.171,0,0
2015-12-01 19:00,2.021,0.131,0,0
2015-12-01 20:00,1.778,0.108,0,0
2015-12-01 21:00,1.470,0.102,0,0
2015-12-01 22:00,1.234,0.148,0,0
2015-12-01 23:00,1.014,0.112,0,0
2015-12-02 00:00,0.955,0.105,0,0
2015-12-02 01:00,1.188,0.108,0,0
2015-12-02 02:00,1.188,0.118,0,0
2015-12-02 03:00,1.224,0.121,0,0
2015-12-02 04:00,1.237,0.092,0,0
2015-12-02 05:00,1.155,0.135,0,0
2015-12-02 06:00,1.168,0.102,0,0
2015-12-02 07:00,1.053,0.092,0,0
2015-12-02 08:00,0.928,0.092,0,0
2015-12-02 09:00,1.007,0.141,0,0
2015-12-02 10:00,0.883,0.092,0,0
2015-12-02 11:00,1.115,0.121,0,0
2015-12-02 12:00,1.401,0.203,0,0
2015-12-02 13:00,1.614,0.161,0,0
2015-12-02 14:00,1.644,0.177,0,0
2015-12-02 15:00,1.860,0.177,0,0
2015-12-02 16:00,2.172,0.200,0,0
2015-12-02 17:00,2.152,0.167,0,0
2015-12-02 18:00,1.988,0.200,0,0
2015-12-02 19:00,2.096,0.177,0,0
2015-12-02 20:00,1.932,0.197,0,0
2015-12-02 21:00,1.575,0.213,0,0
2015-12-02 22:00,1.286,0.118,0,0
2015-12-02 23:00,1.129,0.292,0,0
2015-12-03 00:00,1.138,0.164,0,0
2015-12-03 01:00,0.935,0.207,0,0
2015-12-03 02:00,0.932,0.315,0,0
2015-12-03 03:00,1.001,0.220,0,0
2015-12-03 04:00,1.220,0.125,0,0
2015-12-03 05:00,1.191,0.174,0,0
2015-12-03 06:00,1.076,0.167,0,0
2015-12-03 07:00,1.145,0.230,0,0
2015-12-03 08:00,1.115,0.118,0,0
2015-12-03 09:00,1.099,0.125,0,0
2015-12-03 10:00,0.902,0.151,0,0
2015-12-03 11:00,0.965,0.197,0,0
2015-12-03 12:00,1.047,0.180,0,0
2015-12-03 13:00,1.112,0.118,0,0
2015-12-03 14:00,1.302,0.141,0,0
2015-12-03 15:00,1.552,0.177,0,0
2015-12-03 16:00,1.670,0.180,0,0
2015-12-03 17:00,1.841,0.164,0,0
2015-12-03 18:00,1.886,0.180,0,0
2015-12-03 19:00,2.008,0.177,0,0
2015-12-03 20:00,1.919,0.141,0,0
2015-12-03 21:00,1.660,0.144,0,0
2015-12-03 22:00,1.594,0.105,0,0
2015-12-03 23:00,1.289,0.207,0,0
2015-12-04 00:00,0.988,0.200,0,0
2015-12-04 01:00,0.915,0.138,0,0
2015-12-04 02:00,0.902,0.197,0,0
2015-12-04 03:00,0.866,0.213,0,0
2015-12-04 04:00,0.843,0.184,0,0
2015-12-04 05:00,0.988,0.177,0,0
2015-12-04 06:00,1.171,0.157,0,0
2015-12-04 07:00,1.247,0.164,0,0
2015-12-04 08:00,1.391,0.213,0,0
2015-12-04 09:00,1.496,0.161,0,0
2015-12-04 10:00,1.440,0.171,0,0
2015-12-04 11:00,1.348,0.157,0,0
2015-12-04 12:00,1.401,0.203,0,0
2015-12-04 13:00,1.368,0.213,0,0
2015-12-04 14:00,1.220,0.217,0,0
2015-12-04 15:00,1.430,0.253,0,0
2015-12-04 16:00,1.572,0.210,0,0
2015-12-04 17:00,1.568,0.207,0,0
2015-12-04 18:00,1.788,0.220,0,0
2015-12-04 19:00,1.837,0.213,0,0
2015-12-04 20:00,1.893,0.246,0,0
2015-12-04 21:00,1.683,0.282,0,0
2015-12-04 22:00,1.476,0.197,0,0
2015-12-04 23:00,1.184,0.157,0,0
2015-12-05 00:00,1.017,0.220,0,0
