#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 09 999 99.0 99.0  2.66 11.11  6.71   8 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 00 39 999 99.0 99.0  2.61 11.76  6.84 358 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 01 09 999 99.0 99.0  2.68 10.53  6.85  22 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 01 39 999 99.0 99.0  2.84 10.53  7.07   5 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 02 09 999 99.0 99.0  2.49 11.11  6.75   8 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 02 39 999 99.0 99.0  2.71 10.53  6.91  10 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 03 09 999 99.0 99.0  2.57 10.53  6.81  16 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 03 39 999 99.0 99.0  2.59 10.53  6.93  16 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 04 09 999 99.0 99.0  2.62 11.11  7.13   2 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 04 39 999 99.0 99.0  2.55 10.53  6.91   8 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 05 09 999 99.0 99.0  2.58  9.09  6.95   8 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 01 05 39 999 99.0 99.0  2.63  9.88  7.08 359 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 06 09 999 99.0 99.0  2.69  9.88  7.06  17 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 06 39 999 99.0 99.0  2.63 10.53  7.13  19 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 07 09 999 99.0 99.0  2.42  9.88  6.89  24 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 07 39 999 99.0 99.0  2.37  9.09  6.92  19 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 08 09 999 99.0 99.0  2.42  9.88  6.86  20 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 08 39 999 99.0 99.0  2.37 10.53  6.69  16 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 09 09 999 99.0 99.0  2.26  9.09  6.57  26 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 09 39 999 99.0 99.0  2.11  9.09  6.42  40 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 10 09 999 99.0 99.0  2.37  9.09  6.85  24 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 10 39 999 99.0 99.0  2.17  9.09  6.59  32 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 11 09 999 99.0 99.0  2.21  9.09  6.73  23 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 11 39 999 99.0 99.0  2.23 10.53  6.78  15 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 12 09 999 99.0 99.0  2.19  9.88  6.67  17 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 12 39 999 99.0 99.0  2.24 10.53  6.58  20 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 13 09 999 99.0 99.0  2.12  9.09  6.60  20 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 13 39 999 99.0 99.0  2.31  9.09  6.99  34 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 14 09 999 99.0 99.0  2.13  9.88  6.67  34 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 14 39 999 99.0 99.0  2.15  9.88  6.63  10 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 15 09 999 99.0 99.0  2.25  9.09  6.36  13 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 15 39 999 99.0 99.0  2.36  9.09  6.71  22 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 16 09 999 99.0 99.0  2.16  9.09  6.64  20 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 01 16 39 999 99.0 99.0  2.42  9.88  6.94  23 9999.0 999.0  24.8 999.0 99.0 99.00
